,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.0014108657836914063,0.00037185070766189703,0.0012259960174560546,0.0003199730967487148,0.1,lbfgs,"{'C': 0.1, 'solver': 'lbfgs'}",0.9473684210526315,1.0,1.0,0.9736842105263158,1.0,0.9842105263157894,0.021052631578947382,1,0.9485714285714285,1.0,1.0,0.9733742959549412,1.0,0.984389144905274,0.0206655853589298,1
1,0.0014637470245361327,0.00037150482451303693,0.0007086753845214844,9.092343136119235e-05,0.1,newton-cg,"{'C': 0.1, 'solver': 'newton-cg'}",0.9473684210526315,1.0,1.0,0.9736842105263158,1.0,0.9842105263157894,0.021052631578947382,1,0.9485714285714285,1.0,1.0,0.9733742959549412,1.0,0.984389144905274,0.0206655853589298,1
2,0.0007296562194824219,0.00032701729406218745,0.0005986213684082032,3.1848795871536816e-05,0.1,sag,"{'C': 0.1, 'solver': 'sag'}",0.9473684210526315,1.0,1.0,0.9736842105263158,1.0,0.9842105263157894,0.021052631578947382,1,0.9485714285714285,1.0,1.0,0.9733742959549412,1.0,0.984389144905274,0.0206655853589298,1
3,0.0008667945861816406,4.412653226173782e-05,0.0005534172058105468,9.607292532728751e-06,0.1,saga,"{'C': 0.1, 'solver': 'saga'}",0.9473684210526315,1.0,1.0,0.9736842105263158,1.0,0.9842105263157894,0.021052631578947382,1,0.9485714285714285,1.0,1.0,0.9733742959549412,1.0,0.984389144905274,0.0206655853589298,1
4,0.001011228561401367,0.00013135903941297497,0.0005564212799072266,4.249697311877072e-05,1.0,lbfgs,"{'C': 1, 'solver': 'lbfgs'}",0.9210526315789473,1.0,1.0,0.9736842105263158,1.0,0.9789473684210528,0.0306892204991858,5,0.9240031998652688,1.0,1.0,0.9733742959549412,1.0,0.9794754991640421,0.029591100262704454,5
5,0.0011776447296142577,8.246989289662693e-05,0.0005263805389404297,2.1041111624686918e-05,1.0,newton-cg,"{'C': 1, 'solver': 'newton-cg'}",0.9210526315789473,1.0,1.0,0.9736842105263158,1.0,0.9789473684210528,0.0306892204991858,5,0.9240031998652688,1.0,1.0,0.9733742959549412,1.0,0.9794754991640421,0.029591100262704454,5
6,0.001361989974975586,0.00013790231192553114,0.0005466938018798828,3.9661559460249576e-05,1.0,sag,"{'C': 1, 'solver': 'sag'}",0.9210526315789473,1.0,1.0,0.9736842105263158,1.0,0.9789473684210528,0.0306892204991858,5,0.9240031998652688,1.0,1.0,0.9733742959549412,1.0,0.9794754991640421,0.029591100262704454,5
7,0.002650022506713867,0.0002655377224755686,0.00048379898071289064,1.2550332263591454e-05,1.0,saga,"{'C': 1, 'solver': 'saga'}",0.9210526315789473,1.0,1.0,0.9736842105263158,1.0,0.9789473684210528,0.0306892204991858,5,0.9240031998652688,1.0,1.0,0.9733742959549412,1.0,0.9794754991640421,0.029591100262704454,5
8,0.0011854171752929688,8.983844907946231e-05,0.0004902362823486328,2.708686897497086e-05,10.0,lbfgs,"{'C': 10, 'solver': 'lbfgs'}",0.9210526315789473,1.0,1.0,0.9736842105263158,1.0,0.9789473684210528,0.0306892204991858,5,0.9240031998652688,1.0,1.0,0.9733742959549412,1.0,0.9794754991640421,0.029591100262704454,5
9,0.0014687538146972655,9.157627518318108e-05,0.0005408763885498047,5.8673954933781435e-05,10.0,newton-cg,"{'C': 10, 'solver': 'newton-cg'}",0.9210526315789473,1.0,1.0,0.9736842105263158,1.0,0.9789473684210528,0.0306892204991858,5,0.9240031998652688,1.0,1.0,0.9733742959549412,1.0,0.9794754991640421,0.029591100262704454,5
10,0.008346462249755859,0.0015621137895500527,0.0005119800567626953,2.9642477524717002e-05,10.0,sag,"{'C': 10, 'solver': 'sag'}",0.9210526315789473,1.0,1.0,0.9736842105263158,1.0,0.9789473684210528,0.0306892204991858,5,0.9240031998652688,1.0,1.0,0.9733742959549412,1.0,0.9794754991640421,0.029591100262704454,5
11,0.01721038818359375,0.003197976181468354,0.0005314350128173828,3.544763945034892e-05,10.0,saga,"{'C': 10, 'solver': 'saga'}",0.9210526315789473,1.0,1.0,0.9736842105263158,1.0,0.9789473684210528,0.0306892204991858,5,0.9240031998652688,1.0,1.0,0.9733742959549412,1.0,0.9794754991640421,0.029591100262704454,5
